,day,time,programme,machine_learning,information_retrieval,statistics,databases,gender,chocolate,birthday,number_of_neighbors,stand_up,deserve_money,random_number,bedtime,good_day_1,good_day_2,stress_level
0,3/27/2019,10:16:11,Artificial Intelligence,1,1,1,1,2,1,unknown,3.0,0,100.0,6.0,23:00,Nice weather,lecture,
1,4/1/2019,15:58:21,Artificial Intelligence,0,0,1,1,0,0,09071992,1.0,0,0.0,7.0,3,dm,ai,1.0
2,4/1/2019,15:59:07,Computer Science,1,1,2,1,0,2,04/08/95,0.0,2,0.0,0.0,0,0,0,100.0
3,4/1/2019,15:59:30,Econometrics,1,1,1,1,0,0,29-09-1993,2.0,0,42.0,1.6449999809265137,"0,3",winning,Food,0.0
4,4/1/2019,15:59:58,Computer Science,0,1,1,1,0,2,0212,2.0,0,,66.0,20,kiss,love,100.0
5,4/1/2019,16:00:01,Artificial Intelligence,1,1,1,1,0,4,31-12-1994,0.0,1,,420.0,0000,ganja,Nice weather,100.0
6,4/1/2019,16:00:12,Bioinformatics,1,0,1,0,1,2,09-10-1995,,0,100.0,739.0,22:00,Food,Nice weather,80.0
7,4/1/2019,16:00:16,Bioinformatics,1,1,1,1,0,3,22/07/1996,0.0,1,,5.0,"24,3",Friends,Nice weather,50.0
8,4/1/2019,16:00:21,Computational Science,0,0,1,1,0,2,30-02-1945,0.0,0,0.0,31.0,03:30,done something useful,had fun,0.0
9,4/1/2019,16:00:31,Artificial Intelligence,1,1,1,0,0,2,22,,0,,5.0,02:00,Nice weather,relax walks,80.0
10,4/1/2019,16:00:52,Bioinformatics,1,0,1,0,0,2,10/06/1991,470.0,0,20.0,3851.0,11,Nice weather,Sleep,100.0
11,4/1/2019,16:00:59,Computational Science,0,0,1,0,0,0,19,3.0,0,0.25,6.0,3,Nice weather,Food,20.0
12,4/1/2019,16:00:59,Artificial Intelligence,1,1,1,0,0,3,18 March 1994,3.0,0,100000000.0,7.0,0:40,Sleep,good breakfast,10.0
13,4/1/2019,16:01:02,Business Analytics,1,1,1,1,0,0,02-08-1996,1.0,0,100.0,16.0,2330,girls,Alcohol,16.0
14,4/1/2019,16:01:03,Business Analytics,1,1,1,1,0,0,1 May,2.0,0,95.0,314.1520080566406,00:00,Nice weather,Food,50.0
15,4/1/2019,16:01:04,Econometrics,1,0,1,0,0,2,1996,11.0,0,50.0,11.0,2:00,work,Sleep,10.0
16,4/1/2019,16:01:04,Econometrics,0,0,1,0,0,0,03-03-1994,6.0,0,30.0,5.0,5 am,Sports,Food,0.0
17,4/1/2019,16:01:06,Business Analytics,1,1,1,1,0,0,17-05-1994,7.0,0,30.0,17.0,22,Nice weather,Sports,17.0
18,4/1/2019,16:01:09,Bioinformatics,1,1,1,1,0,0,08-28,3.0,1,50.0,7.0,24:00,Nice weather,Food,40.0
19,4/1/2019,16:01:13,Business Analytics,1,0,1,1,1,2,27/12/1996,1.0,0,100.0,7.0,23:00,Nice weather,Food,20.0
20,4/1/2019,16:01:13,Bioinformatics,1,0,1,1,1,0,18-10-1996,2.0,0,100.0,2.0,21,horses,Food,12.0
21,4/1/2019,16:01:13,Artificial Intelligence,0,1,1,0,1,1,21-08-1995,,0,100.0,6.0,01:03,Nice weather,Food,2.0
22,4/1/2019,16:01:13,Artificial Intelligence,0,0,1,1,0,0,"10th,June",4.0,0,0.0,888.0,18:00,good news,very good news,63.0
23,4/1/2019,16:01:14,Artificial Intelligence,1,1,1,1,1,0,09/08/1996,1.0,0,10.0,2.0,00:00,Nice weather,Food,0.0
24,4/1/2019,16:01:15,Artificial Intelligence,1,1,1,1,0,2,24-02-1994,1.0,0,,251656720.0,2:30 am,Nice weather,relaxing,0.0
25,4/1/2019,16:01:16,Bioinformatics,1,0,1,0,0,2,04/06,0.0,0,0.009999999776482582,,01:00,sea,Nice weather,98.0
26,4/1/2019,16:01:16,Artificial Intelligence,1,0,1,1,1,1,01-01-1993,5.0,0,5.0,6.0,1 AM,Nice weather,holiday,20.0
27,4/1/2019,16:01:17,Computational Science,0,0,1,0,1,2,29/03,1.0,0,0.25,9.0,23:30,Nice weather,vacation,10.0
28,4/1/2019,16:01:17,Bioinformatics,1,1,1,1,1,1,1996-11-06,2.0,0,100.0,5.79659987542868e+17,22:30,Food,cuddling with dogs ,3.0
29,4/1/2019,16:01:17,Business Analytics,1,0,1,0,0,3,11-08,2.0,0,50.0,9.0,22:00,Nice weather,summer,5.0
30,4/1/2019,16:01:18,Computational Science,1,0,0,0,2,2,15/10/1990,4.0,0,0.0,8.0,23,Friends,figuring something out,99.0
31,4/1/2019,16:01:18,Data Science,1,1,1,1,0,0,03-11-1991,5.0,0,3.5,2.0,00:45,Friends,Food,22.0
