,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
2497928,167753,2012-12-02 12:49:30,5,219,,,219,113520,2,3.0,0,3.43,0.0741,4.66,34,46.0,0,9265,1,22,2,0,1,0,,2046.57,1,,,,,,,-1.0,0.0,5.0,,,,-1.0,0.0,12.0,,,,,,,-1.0,0.0,12.0,0,,0
4642213,311412,2013-03-20 12:48:04,24,55,,,31,32826,4,4.5,0,4.17,0.4555,5.56,22,207.79,0,11239,1,11,1,0,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,1.0,,,,,0,,0
4716298,316412,2013-03-21 15:00:47,5,219,,,219,28966,3,4.0,1,2.56,0.0569,4.73,25,71.0,0,20996,1,43,2,0,1,1,,287.54,1,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
4145213,278112,2013-01-16 18:00:33,5,219,,,219,113788,4,4.0,0,4.92,0.588,5.64,20,219.0,0,4045,1,72,3,2,2,1,,1648.34,1,,,,0.0,0.0,,,,,,,,1.0,0.0,5.0,,,,,,,,,,0,,0
3946494,264881,2013-06-24 18:44:33,5,219,,,219,37123,4,4.0,1,1.95,0.0026,0.0,20,169.0,0,23666,5,0,2,0,1,0,,13.74,0,,,,0.0,0.0,,,,,,,,1.0,0.0,5.0,,,,,,,0.0,0.0,,0,,0
2853223,191694,2013-06-14 17:40:17,22,92,,,205,93035,4,3.5,0,3.97,0.0296,0.0,18,138.03,1,28317,2,118,2,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3973077,266675,2013-01-26 13:26:15,11,103,,,55,115293,4,4.0,1,5.06,,5.56,12,268.75,0,6058,2,134,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1275029,85383,2013-03-08 09:47:25,5,219,,,219,100964,3,5.0,1,0.0,,4.77,16,112.0,0,22061,3,16,2,0,1,0,,113.41,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2221007,149129,2013-04-14 22:51:10,22,219,,,219,137997,4,4.0,1,4.09,0.3046,5.54,7,201.56,1,8192,1,55,2,2,1,1,,603.49,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
1090727,72809,2013-02-02 13:23:41,18,129,,,56,138620,3,3.5,0,4.62,0.0177,5.24,10,111.84,0,16822,3,20,2,0,1,1,,288.19,0,1.0,0.0,10.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0
2476497,166322,2013-03-21 15:17:18,5,32,,,15,16785,4,3.0,1,2.08,0.0021,5.63,33,476.0,0,8660,2,1,2,1,1,1,,2964.06,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0,,0
317165,21265,2013-04-03 05:31:37,5,219,,,219,54265,2,3.0,0,2.83,0.0909,4.4,10,199.0,0,22974,2,93,2,0,1,1,-25.3142,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3427174,230176,2013-02-15 08:59:21,5,219,,,219,41628,3,4.0,1,2.4,0.2683,4.44,6,70.0,0,6653,1,26,2,0,1,0,,307.94,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1312296,87903,2013-01-10 14:30:38,5,219,,,219,17168,3,4.5,1,2.3,,4.83,13,109.0,0,27300,1,3,2,0,2,0,,85.07,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
4101472,275137,2013-04-12 05:56:53,31,219,,,219,73032,2,3.5,1,0.69,0.0092,4.29,9,42.0,1,26392,1,16,1,0,1,0,,175.58,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0
3418836,229616,2013-01-15 13:51:32,14,100,,,100,68658,4,4.5,0,4.62,0.0449,5.58,20,175.76,1,2142,3,31,2,0,1,1,,314.0,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2137821,143456,2012-12-27 12:52:24,18,129,,,129,55845,3,5.0,0,1.95,0.0007,4.86,13,136.35,0,11507,3,135,2,0,1,1,,227.1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3147463,211286,2012-12-13 17:37:21,16,31,,,31,67447,4,4.0,0,3.3,0.442,5.43,9,202.69,0,11165,4,16,2,0,1,1,,684.0,1,,,,,,,,,,,,,1.0,0.0,11.0,,,,1.0,0.0,10.0,,,,0,,0
2206563,148194,2013-04-27 15:02:19,15,55,,,117,137376,3,0.0,1,1.79,0.0052,3.68,18,30.95,0,5145,3,22,2,0,2,0,,,0,,,,,,,,,,,1.0,,,,,,,,,,,,,,0,,0
3699087,248373,2012-12-09 20:34:38,5,219,,,219,35223,4,4.0,1,4.3,,5.32,6,79.0,1,28302,2,11,1,0,1,1,,236.9,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3086756,207247,2013-01-19 16:53:06,5,219,,,219,98021,2,3.0,1,2.89,0.0922,4.42,15,54.0,1,22918,5,26,2,0,1,0,,1079.88,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0
1504546,100883,2012-11-11 23:04:29,18,129,,,129,29241,4,4.5,1,4.11,0.0687,4.9,6,132.15,0,2290,2,4,2,0,1,1,,349.58,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
734307,49124,2013-04-11 19:43:25,23,181,,,60,128970,4,4.0,1,5.59,0.1327,5.03,30,121.03,1,28150,3,120,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1420563,95248,2013-03-21 15:30:54,15,55,,,219,63983,4,4.5,1,2.64,0.0104,5.4,32,154.76,0,7516,4,129,2,1,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
